Row #,Dept. Descr,Acad Org,Course ID,Offer Nbr,Offered,Last Offered,Subject,Catalog Nbr,Course Title,(D),(Q),(W),Xlist,Primary/Secondary,Course Descr,Cls Format,Rqmt/Eval,Prereqs,Enrl Limit,Exp Cls Sz,Preferences,Dept Notes,Distrib Notes,Extra Info,Extra Info2,Matl/Lab Fee,Division,EDI,QFR,WI,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attrbute10,Section,Component,Pat1,Start Time1,End Time1,WMS Facl Dsc 1,Pat2,Start Time2,End Time2,WMS Facl Dsc 2,Pat3,Start Time3,End Time3,WMS Facl Dsc 3,Last Name 1,First Name 1,Last Name 2,First Name 2,Last Name 3,First Name 3,Last Name 4,First Name 4,Last Name 5,First Name 5,Last Name 6,First Name 6,Subject Sort,Catalog Nbr Sort,Term Sort
1,Africana Studies,AFR,018650,2,Spring 2015,,AFR, 104,Travel Narratives and African History,,,(W),HIST 104/AFR 104,Secondary,"In a way, all historical thinking and writing deals with travel accounts given that, as many scholars have noted, the past can be likened to a foreign country and the historian can be viewed as a traveler in foreign places. Nevertheless, actual travel narratives--narratives about the actual physical visits of writers to distant lands--call for careful and critical analysis because they can be seductive, and they can shape the ways we think about the present--and the past--of distant lands and cultures. This course discusses Arab, Indian, European, African and African American travel narratives about various regions of Africa since the 14th century. We will mine the travel accounts for descriptions of local contexts. We will also explore what travel writing says about the author's perceptions of self, home, and ""other."" Ultimately, we will investigate the authors' biases and how the narratives influence both our perception of Africa and the writing of African history. This course is highly interdisciplinary and draws heavily on literary, anthropological, geographical, and historical methodologies.",seminar,"evaluation will be based on class participation, oral reports, 1-2 short papers and a research paper",first-year or sophomore standing; juniors or seniors with permission of the instructor,19,19,"first-year students, and then to sophomores who have not previously taken a 100-level seminar",,,,,,Division 2,,,Writing Intensive,HIST Group A Electives - Africa,INST African Studies Electives,,,,,,,,,01,SEM,MWF,11:00,12:15,,,,,,,,,,Mutongi,Kenda,,,,,,,,,,,AFR, 104,1153
1,Africana Studies,AFR,019563,2,Spring 2015,,AFR, 113,Musics of Africa,(D),,,MUS 120/AFR 113,Secondary,"This course introduces a selection of musical cultures from the geographical breadth of Africa. Following an introductory exploration of the fundamental aesthetic and social parameters governing African musical practice, we will engage in a series of case studies considering a diverse array of musical practices and related social and political issues in specific locales.  Featured countries include Ghana, Zimbabwe, Ethiopia, Algeria and the Democrtic Republic of Congo.  This course samples a wide range of musical practices from the Ghanaian dance craze, azonto, to Ethiopian liturgical change, to Shona mbira music in Zimbabwe.  Performance analysis and critical reading and listing assignments are combined with a number of hands-on workshops and musical exercises.",lecture,"grade based on two 4- to 6-page papers, two tests, one performance project, a final paper, and class participation",no prerequisites: prior musical background is not essential for this class,30,25,preference given to current or prospective majors in Music and Africana Studies concentrators,"MUS Group A Electives--classes 2015 and 2016
MUS World Music/Ethnomusicology--class of 2017 and beyond",meets Division 1 requirement if registration is under MUS; meets Division 2 requirement if registration is under AFR,may not be taken on a pass/fail basis; not available for the Gaudino option,,,Division 1,Exploring Diversity,,,MUS Group A Electives,MUS World Music/Ethnomusicology,,,,,,,,,01,LEC,MR,02:35,03:50,,,,,,,,,,Campbell,Corinna,,,,,,,,,,,AFR, 113,1153
1,Africana Studies,AFR,014354,2,Spring 2015,,AFR, 129,Twentieth-Century Black Poets,,,(W),ENGL 129/AFR 129,Secondary,"From Langston Hughes to contemporary poets such as Amiri Baraka and Angela Jackson, African American poets have been preoccupied with the relations of poetry to other traditions. Vernacular speech, English poetry, jazz and other musical forms, folk humor and African mythology have all been seen as essential sources for black poetry. This course will survey major poets such as Hughes, James Weldon Johnson, Countee Cullen, Robert Hayden, Gwendolyn Brooks, Baraka, Jackson, and Yusef Komunyakaa, reading their poems and their essays and interviews about poetic craft. We will ask how black poetry has been defined and whether there is a single black poetic tradition or several.",discussion/seminar,several short papers totaling at least 20 pages,none,19,19,first-year students who have not taken or placed out of a 100-level English course,,meets Division 1 requirement if registration is under ENGL; meets Division 2 requirements if registration is under AFR,,,,Division 1,,,Writing Intensive,,,,,,,,,,,01,SEM,MWF,11:00,12:15,,,,,,,,,,Smith,David,,,,,,,,,,,AFR, 129,1153
1,Africana Studies,AFR,018919,1,Spring 2015,,AFR, 132,Contemporary Africana Social and Political Philosophy,(D),,,AFR 132/PSCI 132/AMST 132,Primary,"This introductory seminar investigates the relationship between three major schools of thought in contemporary Africana social and political philosophy, namely the African, Afro-American, and Afro-Caribbean intellectual traditions. We will discuss a range of thinkers including Aimé Césaire, Angela Y. Davis, Édouard Glissant, Lewis R. Gordon, Kwame Gyekye, Paget Henry, bell hooks, Charles W. Mills, Nkiru Nzegwu, Lucius Outlaw, Oyèrónke Oyewùmi, Tommie Shelby, and Sylvia Wynter. A primary goal of the course is to provide students with the intellectual resources to decipher problems central to philosophical discourse and to allow students an opportunity to apply what they learn to critical issues in current geopolitics. This seminar is part of the Exploring Diversity Initiative, and as such we shall investigate--via the authors mentioned--comparative philosophical analyses, critical theorization, and the plurality of global thinking in contemporary social and political philosophy.",seminar,"evaluation will be based on attendance and participation, two 5- to 7-page essays, and one 10-page final paper",none; open to all,15,12,first- and second-year students,,,,,,Division 2,Exploring Diversity,,,AFR Core Electives,"AMST Comp Studies in Race, Ethnicity, Diaspora",AMST Critical and Cultural Theory Electives,,,,,,,,01,SEM,MW,11:00,12:15,,,,,,,,,,Roberts,Neil,,,,,,,,,,,AFR, 132,1153
1,Africana Studies,AFR,019679,2,Not Offered Academic Year 2015,last offered Fall 2013,AFR, 152,A Composer's History of Jazz,(D),,(W),MUS 152/AFR 152,Secondary,"This course will provide a chronological survey of jazz composers, beginning with the pre-jazz era and continuing through the present day. Students will be required to do assigned listening and read related criticism and biographical material. In addition, students will write several responsive papers summarizing these listening and reading experiences. Each student will also write a biographical paper about a composer (or composer/arranger) of her choice, and participate in a collaborative presentation at the end of the semester on a composition or set of compositions from a list of possibilities provided by the instructor. Midterm and final examinations will focus on analytical aural skills developed during the semester, both in terms of formal analysis and composer identification. Composers whose work will be covered will include: Scott Joplin, James P. Johnson, Jelly Roll Morton, George Gershwin, Fletcher Henderson, Duke Ellington, Mary Lou Williams, Benny Carter, Ernie Wilkins, Quincy Jones, Gil Evans, Frank Foster, John Lewis, Dave Brubeck, Oliver Nelson, Antonio Carlos Jobim, Hermeto Pascoal, Eddie Palmieri, Thad Jones, Thelonious Monk, John Coltrane, Charles Mingus, Jaco Pastorius, Wayne Shorter, Joe Zawinul, Yusef Lateef, Bill Evans, Maria Schneider, Billy Childs, and others. This course will be writing intensive.
As an EDI offering, the course materials will be designed not only to expose the student to the music, but also to provide an examination of the relationship between jazz composers and the historical and cultural worlds in which they created their Art. Readings will include the perspective of musicians, audiences and critics, as well as an examination of who they were and what agendas and prevailing societal attitudes may have shaped their reactions to the music. Comparisons between the experiences of composers and their listeners in different eras will provide additional perspective.",lecture,short response papers based on reading and listening; midterm and final exams; and a research paper on the career of a composer of the student's choice,none,19,19,Music Majors and then Jazz Ensemble members,MUS Group A Electives--classes 2015 and 2016,meets Division 1 requirement if registration is under MUS; meets Division 2 requirement if registration is under AFR,may not be taken on a pass/fail basis,,,Division 1,Exploring Diversity,,Writing Intensive,MUS Group A Electives,,,,,,,,,,,LEC,,,,,,,,,,,,,Jaffe,Andrew,,,,,,,,,,,AFR, 152,1141
1,Africana Studies,AFR,019395,1,Not Offered Academic Year 2015,last offered Spring 2013,AFR, 156,Thirteen Ways of Looking at Jazz,(D),,(W),AFR 156/COMP 156/AMST 156/ENGL 223,Primary,"Taking its title from the Wallace Stevens poem, ""Thirteen Ways of Looking at a Blackbird,"" which interprets the blackbird in different ways, this course similarly explores a more complex, multi-layered perspective on jazz, from jazz and American democracy to jazz in visual art. Accordingly, the course introduces students to several genres, including historical documents, cultural criticism, music, literature, film, photography and art. The course does not draw on a musicological method but rather a socio-cultural analysis of the concept, music and its effect--so students are not required to have any prior musical knowledge or ability. In this writing intensive course, students will write short close analyses of multiple types of media, ultimately building up to an argumentative essay. This EDI course explores the musical expressions of the culturally diverse peoples of African descent in the New World, as well as the myriad ways in which representations of jazz signify on institutional power, reaffirm dominant U.S. and/or European hierarchies of race, gender and class, and signal inequality in order to contest it.",lecture,"class participation, 1 quiz, weekly 2-page response essays in course journal, 2 4-page close analyses, 1 oral presentation/performance with 2-page critical report, and 1 6- to 8-page argumentative essay, totaling slightly over 20 pages of written work",none,19,19,none,,Meets Division 2 requirement if registration is under AFR and AMST; meets Division 1 requirement if registration is under COMP or ENGL,may not be taken on a pass/fail basis; not available for the Gaudino option,,,Division 2,Exploring Diversity,,Writing Intensive,AFR Core Electives,AMST Arts in Context Electives,"AMST Comp Studies in Race, Ethnicity, Diaspora",,,,,,,,,LEC,,,,,,,,,,,,,Braggs,Rashida,,,,,,,,,,,AFR, 156,1133
1,Africana Studies,AFR,011293,2,Not Offered Academic Year 2015,last offered Spring 2014,AFR, 164,Slavery in the United States,,,(W),HIST 164/AFR 164/AMST 165,Secondary,"Slavery and freedom rose as concomitant ideologies--simultaneously and interrelated--critical to the development of the American colonies and United States. Few areas of American social, political, and economic history have been more active and exciting in recent years than the study of this relationship. This seminar introduces students to the most important aspects of American slavery, beginning with an examination of the international slave trade and traces the development of the ""peculiar institution"" to its demise with the Civil War.",seminar,"building on several preliminary essays, each student will complete a research project which leads to a final research paper",first-year or sophomore standing; juniors or seniors with permission of the instructor,19,15-19,"first-year students, and then to sophomores who have not previously taken a 100-level seminar",,,"in addition to reading key books in the field, students will engage in primary source research using the College library's extensive holdings of microfilm and local records dealing with slavery",,,Division 2,,,Writing Intensive,"AMST Comp Studies in Race, Ethnicity, Diaspora",HIST Group F Electives - U.S. + Canada,JLST Enactment/Applications in Institutions,,,,,,,,,SEM,,,,,,,,,,,,,Dew,Charles,,,,,,,,,,,AFR, 164,1143
1,Africana Studies,AFR,019651,2,Not Offered Academic Year 2015,last offered Spring 2014,AFR, 166,Politics and Prose: Invisible Man in Historical Context,(D),,(W),HIST 166/AFR 166/AMST 166,Secondary,"""I am an invisible man."" So begins Ralph Ellison's treatise on black life in the United States in the middle of the twentieth century. Ellison's book <I>Invisible Man</I> appeared in 1952, won the National Book Award, and secured a prominent place in the canons of both American and African American arts and letters. Often studied for its literary crafting and for the ways it echoes the work of classic American writers, <I>Invisible Man</I> iterates the black past as it affects its protagonist. This course examines the novel and its themes in historical context: debates among black ideologues and leaders; links between culture and protest; and effects of black migration and urbanization. In addition to the novel the course also includes readings in black sociology, anthropology, law, literature, political science, education, folklife, and music.",seminar,"frequent short assignments, building toward longer essays and a final paper; final evaluation will be based on these assignments and class participation",first-year or sophomore standing; juniors or seniors with permission of the instructor,19,15,"first-year students, and then sophomores who have not previously taken a 100-level seminar",,,may not be taken on a pass/fail basis,,,Division 2,Exploring Diversity,,Writing Intensive,AMST Arts in Context Electives,"AMST Comp Studies in Race, Ethnicity, Diaspora",HIST Group F Electives - U.S. + Canada,,,,,,,,,SEM,,,,,,,,,,,,,Brown,Leslie,,,,,,,,,,,AFR, 166,1143
1,Africana Studies,AFR,019652,2,Spring 2015,,AFR, 167,Let Freedom Ring? African Americans and Emancipation,,,(W),HIST 167/AFR 167/AMST 167,Secondary,"This course will examine African Americans' transition from slavery to freedom.  In the years that encompassed the Civil War and immediately after, most African Americans changed from being legal property, able to be bought, sold, mortgaged, rented out, and leveraged into U.S. citizens, with the Constitutional right to male suffrage. This course examines this transition.  How did it come about?  To what extent were African Americans able to exercise their rights that the constitution guaranteed?  How did Emancipation shape African American family relations, culture and demography?   This is a research seminar.  We will examine work of historians and discuss the contradictions and nuances of emancipation.  Readings will include monographs, scholarly articles and heavy dose of primary sources, as many as possible written by African Americans themselves.  Assignments include an original research paper on an aspect of Emancipation.  We will devote considerable time throughout the semester to finding primary and secondary sources and on the writing process.",seminar,"Research paper, short writing assignments, class participation",first-year or sophomore standing; juniors or seniors with permission of the instructor,19,19,"first-year students, and then sophomores who have not previously taken a 100-level seminar",,,may not be taken on a pass/fail basis,,,Division 2,,,Writing Intensive,"AMST Comp Studies in Race, Ethnicity, Diaspora",HIST Group F Electives - U.S. + Canada,,,,,,,,,01,SEM,TF,01:10,02:25,,,,,,,,,,Long,Gretchen,,,,,,,,,,,AFR, 167,1153
1,Africana Studies,AFR,018652,1,Not Offered Academic Year 2015,last offered Fall 2011,AFR, 193,"Black Power Abroad: Decolonization in Africa, the Caribbean and Europe",(D),,(W),AFR 193/HIST 193,Primary,"Obama's recent successful bid for the Presidency has reminded Americans of the strong links between African-Americans and Africans and of the international dimensions of the struggle for racial justice.  This struggle has its roots in the post-World War II transformation of the world associated with the decolonization struggles led by individuals like C.L.R. James, Aimé Césaire, Kwame Nkrumah, Franz Fanon and Nelson Mandela.  This course will examine this movement, focusing on activists in the Caribbean and Africa, the new ideas and cultural movements they inspired (Pan-Africanism, Negritude, and Socialism), their organizational activities in London and Paris, and their success in breaking free of European imperialism only to be confronted with American and Russian Cold War rivalry. By comparing and contrasting different experiences of independence--in the Caribbean,  in independent Ghana, and in anti-apartheid South Africa--this course will grapple with the ways in which racism, political power, and cultural difference affected relations between Blacks, mulattoes, whites, and Indians in these countries as they fought for independence. The comparative and transatlantic scope of this course, combined with its focus on race relations, power, and privilege helps it meet the requirements of the Exploring Diversity Initiative.",discussion,"evaluation will be based on class participation, oral reports, 1 short paper, and a 10- to 12-page research paper",first-year or sophomore standing; juniors or seniors with permission of the instructor,19,19,"first-year students, and then sophomores who have not previously taken a 100-level seminar",,,,,,Division 2,Exploring Diversity,,Writing Intensive,AFR Core Electives,HIST Group A Electives - Africa,HIST Group C Electives - Europe and Russia,HIST Group D Electives - Latin America + Caribbean,,,,,,,,SEM,,,,,,,,,,,,,Singham,Shanti,,,,,,,,,,,AFR, 193,1121
